x,y,z,k
-2.777,-50.558,-4.659,606.1930
-2.777,-50.558,-3.995,606.6858
-2.777,-50.558,-3.330,607.2004
-2.777,-50.558,-2.666,607.7354
-2.777,-50.558,-2.002,608.3275
-2.777,-50.558,-1.338,608.9053
-2.777,-50.558,-0.674,609.4382
-2.777,-50.558,-0.010,609.9789
-2.777,-50.558,0.654,610.5255
-2.777,-50.558,1.318,611.1462
-2.777,-50.558,1.982,611.7816
-2.777,-50.558,2.647,612.3268
-2.777,-50.558,3.311,612.8700
-2.777,-50.558,3.975,613.4314
-2.777,-50.558,4.639,613.9672
-2.777,-50.558,5.303,614.5343
-2.777,-50.558,5.967,615.0215
-2.777,-50.558,6.631,615.4874
-2.777,-50.558,7.295,615.9476
-2.777,-50.558,7.959,616.3890
-2.777,-50.558,8.624,616.8581
-2.777,-50.558,9.288,617.2429
-2.777,-50.558,9.952,617.5858
-2.777,-50.558,10.616,617.9068
-2.777,-50.558,11.280,618.2383
-2.777,-50.558,11.944,618.5317
-2.777,-50.558,12.608,618.6998
-2.777,-50.558,13.272,618.8731
-2.777,-50.558,13.936,619.0450
-2.777,-50.558,14.600,619.1799
-2.777,-50.558,15.265,619.2767
-2.777,-50.558,15.929,619.2276
-2.777,-50.558,16.593,619.2072
-2.777,-50.558,17.257,619.2371
-2.777,-50.558,17.921,619.2473
-2.777,-50.558,18.585,619.1971
-2.777,-50.558,19.249,619.1012
-2.777,-50.558,19.913,618.9667
-2.777,-50.558,20.577,618.8221
-2.777,-50.558,21.242,618.7705
-2.777,-50.558,21.906,618.6400
-2.777,-50.558,22.570,618.3876
-2.777,-50.558,23.234,618.1568
-2.777,-50.558,23.898,617.9396
-2.777,-50.558,24.562,617.7949
-2.777,-50.558,25.226,617.6458
-2.777,-50.558,25.890,617.3920
-2.777,-50.558,26.554,617.1300
-2.777,-50.558,27.219,616.8989
-2.777,-50.558,27.883,616.7224
-2.777,-50.558,28.547,616.5917
-2.777,-50.558,29.211,616.4290
-2.777,-50.558,29.875,616.2594
-2.777,-50.558,30.539,616.0641
-2.777,-50.558,31.203,615.8843
-2.777,-50.558,31.867,615.7502
-2.777,-50.558,32.531,615.6131
-2.777,-50.558,33.196,615.5117
-2.777,-50.558,33.860,615.3870
-2.777,-49.422,-18.605,600.5250
-2.777,-49.422,-17.941,600.7682
-2.777,-49.422,-17.277,601.0356
-2.777,-49.422,-16.613,601.3159
-2.777,-49.422,-15.949,601.6543
-2.777,-49.422,-15.284,602.0282
-2.777,-49.422,-14.620,602.3072
-2.777,-49.422,-13.956,602.6111
-2.777,-49.422,-13.292,602.9590
-2.777,-49.422,-12.628,603.2681
-2.777,-49.422,-11.964,603.6264
-2.777,-49.422,-11.300,603.9669
-2.777,-49.422,-10.636,604.3218
-2.777,-49.422,-9.972,604.7071
-2.777,-49.422,-9.307,605.0735
-2.777,-49.422,-8.643,605.5083
-2.777,-49.422,-7.979,605.8850
-2.777,-49.422,-7.315,606.2714
-2.777,-49.422,-6.651,606.7440
-2.777,-49.422,-5.987,607.1936
-2.777,-49.422,-5.323,607.6196
-2.777,-49.422,-4.659,608.0526
-2.777,-49.422,-3.995,608.4792
-2.777,-49.422,-3.330,608.9986
-2.777,-49.422,-2.666,609.5314
-2.777,-49.422,-2.002,610.0244
-2.777,-49.422,-1.338,610.5090
-2.777,-49.422,-0.674,610.9943
-2.777,-49.422,-0.010,611.5504
-2.777,-49.422,0.654,612.1111
-2.777,-49.422,1.318,612.6229
-2.777,-49.422,1.982,613.1513
-2.777,-49.422,2.647,613.6910
-2.777,-49.422,3.311,614.2590
-2.777,-49.422,3.975,614.8307
-2.777,-49.422,4.639,615.3221
-2.777,-49.422,5.303,615.8153
-2.777,-49.422,5.967,616.3074
-2.777,-49.422,6.631,616.8157
-2.777,-49.422,7.295,617.3169
-2.777,-49.422,7.959,617.7729
-2.777,-49.422,8.624,618.2254
-2.777,-49.422,9.288,618.6176
-2.777,-49.422,9.952,619.0137
-2.777,-49.422,10.616,619.4177
-2.777,-49.422,11.280,619.7808
-2.777,-49.422,11.944,620.1164
-2.777,-49.422,12.608,620.3627
-2.777,-49.422,13.272,620.6084
-2.777,-49.422,13.936,620.8715
-2.777,-49.422,14.600,621.0614
-2.777,-49.422,15.265,621.1911
-2.777,-49.422,15.929,621.2260
-2.777,-49.422,16.593,621.2631
-2.777,-49.422,17.257,621.3599
-2.777,-49.422,17.921,621.3980
-2.777,-49.422,18.585,621.3757
-2.777,-49.422,19.249,621.3293
-2.777,-49.422,19.913,621.2316
-2.777,-49.422,20.577,621.0772
-2.777,-49.422,21.242,620.9559
-2.777,-49.422,21.906,620.8147
-2.777,-49.422,22.570,620.5674
-2.777,-49.422,23.234,620.3299
-2.777,-49.422,23.898,620.0714
-2.777,-49.422,24.562,619.8120
