x,y,z,k
-2.797,-46.799,3.994,592.6735
-2.797,-46.799,4.596,592.7062
-2.797,-46.799,5.198,592.7515
-2.797,-46.799,5.799,592.7950
-2.797,-46.799,6.401,592.8132
-2.797,-46.799,7.003,592.8302
-2.797,-46.799,7.604,592.8754
-2.797,-46.799,8.206,592.9460
-2.797,-46.799,8.808,593.0155
-2.797,-46.799,9.409,593.0471
-2.797,-46.799,10.011,593.0675
-2.797,-46.799,10.613,593.1326
-2.797,-46.799,11.214,593.2099
-2.797,-46.799,11.816,593.2661
-2.797,-46.799,12.418,593.3021
-2.797,-46.799,13.019,593.3534
-2.797,-46.799,13.621,593.4107
-2.797,-46.799,14.223,593.4505
-2.797,-46.799,14.824,593.4778
-2.797,-46.799,15.426,593.4974
-2.797,-46.799,16.028,593.5105
-2.797,-46.799,16.629,593.5415
-2.797,-46.799,17.231,593.5658
-2.797,-46.799,17.833,593.5469
-2.797,-46.799,18.434,593.5315
-2.797,-46.799,19.036,593.5128
-2.797,-46.799,19.637,593.5076
-2.797,-46.799,20.239,593.5043
-2.797,-46.799,20.841,593.4364
-2.797,-46.799,21.442,593.3866
-2.797,-46.799,22.044,593.3524
-2.797,-46.799,22.646,593.3146
-2.797,-46.799,23.247,593.2808
-2.797,-46.799,23.849,593.1835
-2.797,-46.799,24.451,593.0831
-2.797,-46.799,25.052,593.0305
-2.797,-46.799,25.654,592.9724
-2.797,-46.799,26.256,592.9111
-2.797,-46.799,26.857,592.8358
-2.797,-46.799,27.459,592.7488
-2.797,-46.799,28.061,592.6857
-2.797,-46.799,28.662,592.6350
-2.797,-46.799,29.264,592.5886
-2.797,-46.799,29.866,592.5152
-2.797,-46.799,30.467,592.4497
-2.797,-45.770,-17.064,590.2487
-2.797,-45.770,-16.462,590.3499
-2.797,-45.770,-15.860,590.4656
-2.797,-45.770,-15.259,590.5695
-2.797,-45.770,-14.657,590.6103
-2.797,-45.770,-14.055,590.6613
-2.797,-45.770,-13.454,590.7553
-2.797,-45.770,-12.852,590.8285
-2.797,-45.770,-12.250,590.9162
-2.797,-45.770,-11.649,590.9565
-2.797,-45.770,-11.047,590.9911
-2.797,-45.770,-10.445,591.0734
-2.797,-45.770,-9.844,591.1270
-2.797,-45.770,-9.242,591.1744
-2.797,-45.770,-8.640,591.2180
-2.797,-45.770,-8.039,591.2582
-2.797,-45.770,-7.437,591.2971
-2.797,-45.770,-6.835,591.3195
-2.797,-45.770,-6.234,591.3248
-2.797,-45.770,-5.632,591.3268
-2.797,-45.770,-5.030,591.3497
-2.797,-45.770,-4.429,591.3680
-2.797,-45.770,-3.827,591.3826
-2.797,-45.770,-3.225,591.3853
-2.797,-45.770,-2.624,591.3756
-2.797,-45.770,-2.022,591.4060
-2.797,-45.770,-1.421,591.4302
-2.797,-45.770,-0.819,591.4132
-2.797,-45.770,-0.217,591.4271
-2.797,-45.770,0.384,591.4448
-2.797,-45.770,0.986,591.4605
-2.797,-45.770,1.588,591.4866
-2.797,-45.770,2.189,591.4952
-2.797,-45.770,2.791,591.5153
-2.797,-45.770,3.393,591.5392
-2.797,-45.770,3.994,591.5589
-2.797,-45.770,4.596,591.5766
-2.797,-45.770,5.198,591.5998
-2.797,-45.770,5.799,591.6443
-2.797,-45.770,6.401,591.6789
-2.797,-45.770,7.003,591.7159
-2.797,-45.770,7.604,591.7548
-2.797,-45.770,8.206,591.8066
-2.797,-45.770,8.808,591.8853
-2.797,-45.770,9.409,591.9458
-2.797,-45.770,10.011,591.9899
-2.797,-45.770,10.613,592.0624
-2.797,-45.770,11.214,592.1593
-2.797,-45.770,11.816,592.2689
-2.797,-45.770,12.418,592.3571
-2.797,-45.770,13.019,592.4255
-2.797,-45.770,13.621,592.5261
-2.797,-45.770,14.223,592.6415
-2.797,-45.770,14.824,592.7362
-2.797,-45.770,15.426,592.8204
-2.797,-45.770,16.028,592.8748
-2.797,-45.770,16.629,592.9616
-2.797,-45.770,17.231,593.0664
-2.797,-45.770,17.833,593.1501
-2.797,-45.770,18.434,593.2147
-2.797,-45.770,19.036,593.2380
-2.797,-45.770,19.637,593.3001
-2.797,-45.770,20.239,593.3923
-2.797,-45.770,20.841,593.4466
-2.797,-45.770,21.442,593.4702
-2.797,-45.770,22.044,593.4692
-2.797,-45.770,22.646,593.4772
-2.797,-45.770,23.247,593.5048
-2.797,-45.770,23.849,593.5130
-2.797,-45.770,24.451,593.4885
-2.797,-45.770,25.052,593.4470
-2.797,-45.770,25.654,593.4124
-2.797,-45.770,26.256,593.3980
-2.797,-45.770,26.857,593.3792
-2.797,-45.770,27.459,593.3347
-2.797,-45.770,28.061,593.2601
-2.797,-45.770,28.662,593.1941
-2.797,-45.770,29.264,593.1584
-2.797,-45.770,29.866,593.1173
-2.797,-45.770,30.467,593.0834
-2.797,-44.742,-17.064,588.9572
-2.797,-44.742,-16.462,589.0273
-2.797,-44.742,-15.860,589.1434
-2.797,-44.742,-15.259,589.2251
-2.797,-44.742,-14.657,589.2539
-2.797,-44.742,-14.055,589.3017
-2.797,-44.742,-13.454,589.4031
-2.797,-44.742,-12.852,589.5039
-2.797,-44.742,-12.250,589.5946
-2.797,-44.742,-11.649,589.6369
-2.797,-44.742,-11.047,589.6815
-2.797,-44.742,-10.445,589.7830
-2.797,-44.742,-9.844,589.8614
-2.797,-44.742,-9.242,589.8996
-2.797,-44.742,-8.640,589.9537
-2.797,-44.742,-8.039,590.0201
-2.797,-44.742,-7.437,590.0677
-2.797,-44.742,-6.835,590.1226
-2.797,-44.742,-6.234,590.1523
-2.797,-44.742,-5.632,590.1575
-2.797,-44.742,-5.030,590.1709
-2.797,-44.742,-4.429,590.1931
-2.797,-44.742,-3.827,590.2401
-2.797,-44.742,-3.225,590.2491
-2.797,-44.742,-2.624,590.2369
-2.797,-44.742,-2.022,590.2582
-2.797,-44.742,-1.421,590.2791
-2.797,-44.742,-0.819,590.2647
-2.797,-44.742,-0.217,590.2489
-2.797,-44.742,0.384,590.2312
-2.797,-44.742,0.986,590.2393
-2.797,-44.742,1.588,590.2600
-2.797,-44.742,2.189,590.2492
-2.797,-44.742,2.791,590.2419
-2.797,-44.742,3.393,590.2396
-2.797,-44.742,3.994,590.2532
-2.797,-44.742,4.596,590.2736
-2.797,-44.742,5.198,590.2887
-2.797,-44.742,5.799,590.2949
-2.797,-44.742,6.401,590.3023
-2.797,-44.742,7.003,590.3420
-2.797,-44.742,7.604,590.3927
-2.797,-44.742,8.206,590.4252
-2.797,-44.742,8.808,590.4488
-2.797,-44.742,9.409,590.4948
-2.797,-44.742,10.011,590.5581
-2.797,-44.742,10.613,590.6354
-2.797,-44.742,11.214,590.7198
-2.797,-44.742,11.816,590.8062
-2.797,-44.742,12.418,590.9113
-2.797,-44.742,13.019,590.9913
-2.797,-44.742,13.621,591.0956
-2.797,-44.742,14.223,591.2246
-2.797,-44.742,14.824,591.3387
-2.797,-44.742,15.426,591.4729
-2.797,-44.742,16.028,591.5742
-2.797,-44.742,16.629,591.6862
-2.797,-44.742,17.231,591.8167
-2.797,-44.742,17.833,591.9594
-2.797,-44.742,18.434,592.1213
-2.797,-44.742,19.036,592.2395
-2.797,-44.742,19.637,592.3555
-2.797,-44.742,20.239,592.4872
-2.797,-44.742,20.841,592.6105
-2.797,-44.742,21.442,592.7209
-2.797,-44.742,22.044,592.8009
-2.797,-44.742,22.646,592.8861
-2.797,-44.742,23.247,592.9745
-2.797,-44.742,23.849,593.0576
-2.797,-44.742,24.451,593.1317
-2.797,-44.742,25.052,593.1733
-2.797,-44.742,25.654,593.2093
-2.797,-44.742,26.256,593.2486
-2.797,-44.742,26.857,593.2820
-2.797,-44.742,27.459,593.3180
-2.797,-44.742,28.061,593.3214
-2.797,-44.742,28.662,593.3144
-2.797,-44.742,29.264,593.3146
-2.797,-44.742,29.866,593.3059
-2.797,-44.742,30.467,593.3112
-2.797,-43.713,-17.064,588.2764
-2.797,-43.713,-16.462,588.2972
-2.797,-43.713,-15.860,588.3416
-2.797,-43.713,-15.259,588.3842
-2.797,-43.713,-14.657,588.4202
-2.797,-43.713,-14.055,588.4741
-2.797,-43.713,-13.454,588.5413
-2.797,-43.713,-12.852,588.6053
-2.797,-43.713,-12.250,588.6832
-2.797,-43.713,-11.649,588.7461
-2.797,-43.713,-11.047,588.7868
-2.797,-43.713,-10.445,588.8413
-2.797,-43.713,-9.844,588.8962
-2.797,-43.713,-9.242,588.9446
-2.797,-43.713,-8.640,589.0164
-2.797,-43.713,-8.039,589.0543
-2.797,-43.713,-7.437,589.0745
-2.797,-43.713,-6.835,589.1395
-2.797,-43.713,-6.234,589.2150
-2.797,-43.713,-5.632,589.2447
-2.797,-43.713,-5.030,589.2473
-2.797,-43.713,-4.429,589.2566
-2.797,-43.713,-3.827,589.3279
-2.797,-43.713,-3.225,589.3944
-2.797,-43.713,-2.624,589.3856
-2.797,-43.713,-2.022,589.3590
-2.797,-43.713,-1.421,589.3481
-2.797,-43.713,-0.819,589.3669
-2.797,-43.713,-0.217,589.3941
-2.797,-43.713,0.384,589.3579
-2.797,-43.713,0.986,589.3149
-2.797,-43.713,1.588,589.3014
-2.797,-43.713,2.189,589.2852
-2.797,-43.713,2.791,589.2939
-2.797,-43.713,3.393,589.2822
-2.797,-43.713,3.994,589.2519
-2.797,-43.713,4.596,589.2285
-2.797,-43.713,5.198,589.2350
-2.797,-43.713,5.799,589.2364
-2.797,-43.713,6.401,589.2155
-2.797,-43.713,7.003,589.2060
-2.797,-43.713,7.604,589.2406
-2.797,-43.713,8.206,589.2780
-2.797,-43.713,8.808,589.2861
-2.797,-43.713,9.409,589.2970
-2.797,-43.713,10.011,589.3313
-2.797,-43.713,10.613,589.4128
-2.797,-43.713,11.214,589.4712
-2.797,-43.713,11.816,589.5178
-2.797,-43.713,12.418,589.5796
-2.797,-43.713,13.019,589.6464
-2.797,-43.713,13.621,589.7667
-2.797,-43.713,14.223,589.8758
-2.797,-43.713,14.824,589.9536
-2.797,-43.713,15.426,590.0506
-2.797,-43.713,16.028,590.1595
-2.797,-43.713,16.629,590.3074
-2.797,-43.713,17.231,590.4338
-2.797,-43.713,17.833,590.5551
-2.797,-43.713,18.434,590.7284
-2.797,-43.713,19.036,590.9010
-2.797,-43.713,19.637,591.0601
-2.797,-43.713,20.239,591.2095
-2.797,-43.713,20.841,591.3367
-2.797,-43.713,21.442,591.4858
-2.797,-43.713,22.044,591.6348
-2.797,-43.713,22.646,591.7829
-2.797,-43.713,23.247,591.9323
-2.797,-43.713,23.849,592.0601
-2.797,-43.713,24.451,592.1884
-2.797,-43.713,25.052,592.3107
-2.797,-43.713,25.654,592.4287
-2.797,-43.713,26.256,592.5445
-2.797,-43.713,26.857,592.6401
-2.797,-43.713,27.459,592.7431
-2.797,-43.713,28.061,592.8454
-2.797,-43.713,28.662,592.9183
-2.797,-43.713,29.264,592.9967
-2.797,-43.713,29.866,593.0567
-2.797,-43.713,30.467,593.1134
-2.797,-42.685,-17.064,588.2996
-2.797,-42.685,-16.462,588.3190
-2.797,-42.685,-15.860,588.3439
-2.797,-42.685,-15.259,588.3707
-2.797,-42.685,-14.657,588.3810
-2.797,-42.685,-14.055,588.3978
-2.797,-42.685,-13.454,588.4297
-2.797,-42.685,-12.852,588.4531
-2.797,-42.685,-12.250,588.4831
-2.797,-42.685,-11.649,588.5098
-2.797,-42.685,-11.047,588.5188
-2.797,-42.685,-10.445,588.5302
-2.797,-42.685,-9.844,588.5550
-2.797,-42.685,-9.242,588.5934
-2.797,-42.685,-8.640,588.6317
-2.797,-42.685,-8.039,588.6311
-2.797,-42.685,-7.437,588.6362
-2.797,-42.685,-6.835,588.6759
-2.797,-42.685,-6.234,588.7247
-2.797,-42.685,-5.632,588.7539
-2.797,-42.685,-5.030,588.7486
-2.797,-42.685,-4.429,588.7441
-2.797,-42.685,-3.827,588.7996
-2.797,-42.685,-3.225,588.8428
-2.797,-42.685,-2.624,588.8265
-2.797,-42.685,-2.022,588.8089
-2.797,-42.685,-1.421,588.8119
-2.797,-42.685,-0.819,588.8435
-2.797,-42.685,-0.217,588.8543
-2.797,-42.685,0.384,588.8310
-2.797,-42.685,0.986,588.8062
-2.797,-42.685,1.588,588.8112
-2.797,-42.685,2.189,588.7732
-2.797,-42.685,2.791,588.7489
-2.797,-42.685,3.393,588.7537
-2.797,-42.685,3.994,588.7494
-2.797,-42.685,4.596,588.7047
-2.797,-42.685,5.198,588.6520
-2.797,-42.685,5.799,588.6177
-2.797,-42.685,6.401,588.5834
-2.797,-42.685,7.003,588.5543
-2.797,-42.685,7.604,588.5672
-2.797,-42.685,8.206,588.5787
-2.797,-42.685,8.808,588.5880
-2.797,-42.685,9.409,588.5607
-2.797,-42.685,10.011,588.5442
-2.797,-42.685,10.613,588.5754
-2.797,-42.685,11.214,588.6064
-2.797,-42.685,11.816,588.6595
-2.797,-42.685,12.418,588.6843
-2.797,-42.685,13.019,588.6918
-2.797,-42.685,13.621,588.7656
-2.797,-42.685,14.223,588.8546
-2.797,-42.685,14.824,588.9038
-2.797,-42.685,15.426,588.9441
-2.797,-42.685,16.028,589.0014
-2.797,-42.685,16.629,589.1164
-2.797,-42.685,17.231,589.2377
-2.797,-42.685,17.833,589.3303
-2.797,-42.685,18.434,589.4313
-2.797,-42.685,19.036,589.5499
-2.797,-42.685,19.637,589.7016
-2.797,-42.685,20.239,589.8613
-2.797,-42.685,20.841,589.9931
-2.797,-42.685,21.442,590.1206
-2.797,-42.685,22.044,590.2616
-2.797,-42.685,22.646,590.4319
-2.797,-42.685,23.247,590.6094
-2.797,-42.685,23.849,590.7810
-2.797,-42.685,24.451,590.9279
-2.797,-42.685,25.052,591.0705
-2.797,-42.685,25.654,591.2470
-2.797,-42.685,26.256,591.4315
-2.797,-42.685,26.857,591.5915
-2.797,-42.685,27.459,591.7388
-2.797,-42.685,28.061,591.9095
-2.797,-42.685,28.662,592.0482
-2.797,-42.685,29.264,592.1970
-2.797,-42.685,29.866,592.3283
-2.797,-42.685,30.467,592.4284
-2.797,-41.656,-17.064,588.8486
